asset,asset_class,H_target,class_reference,kappa,estimator,H_hat,bias,r_squared,n_obs,invalid_day_fraction
rates_02,rates,0.07619925207343509,0.074,0.01,pav,0.04197003358828138,-0.03422921848515371,0.2785936783088404,1000,0.0
rates_02,rates,0.07619925207343509,0.074,0.01,pabpv,0.04148607168322661,-0.03471318039020848,0.2590225401373415,1000,0.0
rates_02,rates,0.07619925207343509,0.074,0.01,bpv,0.036103170868618514,-0.04009608120481657,0.23046983935836107,1000,0.0
rates_02,rates,0.07619925207343509,0.074,0.01,ctrv,0.03845668178597879,-0.0377425702874563,0.24629524756389265,1000,0.0
fx_01,fx,0.0776862990027445,0.081,0.01,rv5m,0.05360346762348567,-0.02408283137925883,0.3984571436787624,1000,0.0
fx_01,fx,0.0776862990027445,0.081,0.01,rk,0.0547768330344576,-0.0229094659682869,0.3862677271020766,1000,0.0
fx_01,fx,0.0776862990027445,0.081,0.01,tsrv,0.05356954786808105,-0.024116751134663453,0.363211286195667,1000,0.0
fx_01,fx,0.0776862990027445,0.081,0.01,pav,0.054513494475105215,-0.023172804527639285,0.361757170433057,1000,0.0
fx_01,fx,0.0776862990027445,0.081,0.01,pabpv,0.059802804005624724,-0.017883494997119775,0.3998176348797048,1000,0.0
fx_01,fx,0.0776862990027445,0.081,0.01,bpv,0.05374422681921516,-0.02394207218352934,0.3513545317916764,1000,0.0
fx_01,fx,0.0776862990027445,0.081,0.01,ctrv,0.052312214787516895,-0.025374084215227605,0.37352188344458925,1000,0.0
fx_02,fx,0.07501426231037758,0.081,0.01,rv5m,0.03118538073768192,-0.04382888157269566,0.16727470088427776,1000,0.0
fx_02,fx,0.07501426231037758,0.081,0.01,rk,0.03678377039029119,-0.038230491920086394,0.25157701371313046,1000,0.0
fx_02,fx,0.07501426231037758,0.081,0.01,tsrv,0.02982865765019066,-0.04518560466018692,0.17086792717112187,1000,0.0
fx_02,fx,0.07501426231037758,0.081,0.01,pav,0.023698385640729812,-0.05131587666964777,0.1507702771665862,1000,0.0
fx_02,fx,0.07501426231037758,0.081,0.01,pabpv,0.02256006495752365,-0.052454197352853935,0.13920010991572906,1000,0.0
fx_02,fx,0.07501426231037758,0.081,0.01,bpv,0.04267778835155832,-0.032336473958819265,0.32137515663924343,1000,0.0
fx_02,fx,0.07501426231037758,0.081,0.01,ctrv,0.04233147865840594,-0.03268278365197164,0.34075087976054075,1000,0.0
agriculture_01,agriculture,0.0747873928152368,0.085,0.01,rv5m,0.05155246606914261,-0.02323492674609419,0.38315913995577255,1000,0.0
agriculture_01,agriculture,0.0747873928152368,0.085,0.01,rk,0.04504705787060724,-0.029740334944629562,0.25382607754600617,1000,0.0
agriculture_01,agriculture,0.0747873928152368,0.085,0.01,tsrv,0.043465026842524304,-0.0313223659727125,0.266093445013838,1000,0.0
agriculture_01,agriculture,0.0747873928152368,0.085,0.01,pav,0.04828631530637931,-0.026501077508857496,0.30545062421568137,1000,0.0
agriculture_01,agriculture,0.0747873928152368,0.085,0.01,pabpv,0.046905246104016966,-0.027882146711219837,0.26181995590913887,1000,0.0
agriculture_01,agriculture,0.0747873928152368,0.085,0.01,bpv,0.04560314073944152,-0.02918425207579528,0.2558393280609117,1000,0.0
agriculture_01,agriculture,0.0747873928152368,0.085,0.01,ctrv,0.04727649168075082,-0.027510901134485982,0.2783094231331842,1000,0.0
agriculture_02,agriculture,0.09013339743504278,0.085,0.01,rv5m,0.09205240286392503,0.0019190054288822506,0.6597051627086832,1000,0.0
