asset_class,estimator,H_reference,median_target,median_H,median_bias,median_r_squared,n
agriculture,bpv,0.085,0.0824603951251398,0.07074122610042663,-0.011719169024713157,0.48255658256538997,2
agriculture,ctrv,0.085,0.0824603951251398,0.07224794030959245,-0.010212454815547355,0.49858369699743765,2
agriculture,pabpv,0.085,0.0824603951251398,0.05724619586029739,-0.025214199264842408,0.34542843478709073,2
agriculture,pav,0.085,0.0824603951251398,0.05934111643179214,-0.02311927869334765,0.39703006956689335,2
agriculture,rk,0.085,0.0824603951251398,0.06891035871625895,-0.01355003640888084,0.44410688042361635,2
agriculture,rv5m,0.085,0.0824603951251398,0.07180243446653382,-0.01065796065860597,0.5214321513322279,2
agriculture,tsrv,0.085,0.0824603951251398,0.06612662126064217,-0.016333773864497622,0.43349782549266086,2
energy,bpv,0.088,0.08516752258068319,0.10220079289913228,0.01703327031844909,0.6725465399375112,2
energy,ctrv,0.088,0.08516752258068319,0.10449074445717355,0.01932322187649036,0.6835247627268832,2
energy,pabpv,0.088,0.08516752258068319,0.10106305751459875,0.01589553493391556,0.6137483630541867,2
energy,pav,0.088,0.08516752258068319,0.10119283331683013,0.016025310736146936,0.6222637666491811,2
energy,rk,0.088,0.08516752258068319,0.10428247325075707,0.01911495067007387,0.68165889598773,2
energy,rv5m,0.088,0.08516752258068319,0.10826015953198484,0.02309263695130165,0.7183291270117262,2
energy,tsrv,0.088,0.08516752258068319,0.10484027571147962,0.01967275313079643,0.6901789116775896,2
equity_index,bpv,0.195,0.19121376597066075,0.1927576855309209,0.0015439195602601347,0.9324128181304603,2
equity_index,ctrv,0.195,0.19121376597066075,0.1946627537459697,0.0034489877753089426,0.9283485883088507,2
equity_index,pabpv,0.195,0.19121376597066075,0.16788699447983202,-0.02332677149082875,0.863490564352999,2
equity_index,pav,0.195,0.19121376597066075,0.16959996249659576,-0.021613803474064996,0.8551182158969518,2
equity_index,rk,0.195,0.19121376597066075,0.1916013752582047,0.0003876092875439302,0.9235208543904463,2
equity_index,rv5m,0.195,0.19121376597066075,0.1762708614029561,-0.01494290456770464,0.8961987342131001,2
equity_index,tsrv,0.195,0.19121376597066075,0.18468773182484655,-0.006526034145814236,0.9088805291291788,2
fx,bpv,0.081,0.07635028065656105,0.04821100758538674,-0.028139273071174302,0.3363648442154599,2
fx,ctrv,0.081,0.07635028065656105,0.047321846722961414,-0.029028433933599624,0.357136381602565,2
fx,pabpv,0.081,0.07635028065656105,0.041181434481574186,-0.035168846174986855,0.2695088723977169,2
fx,pav,0.081,0.07635028065656105,0.03910594005791751,-0.037244340598643524,0.2562637237998216,2
fx,rk,0.081,0.07635028065656105,0.04578030171237439,-0.030569978944186647,0.3189223704076035,2
fx,rv5m,0.081,0.07635028065656105,0.0423944241805838,-0.03395585647597725,0.2828659222815201,2
fx,tsrv,0.081,0.07635028065656105,0.04169910275913585,-0.03465117789742519,0.26703960668339444,2
livestock,bpv,0.048,0.04314767563994894,0.04136261621474309,-0.0017850594252058448,0.23933461958590552,2
livestock,ctrv,0.048,0.04314767563994894,0.04274321192055405,-0.00040446371939488815,0.25403732239072885,2
livestock,pabpv,0.048,0.04314767563994894,0.04447866389372908,0.001330988253780141,0.2752016807934087,2
livestock,pav,0.048,0.04314767563994894,0.04278464023040472,-0.00036303540954421565,0.2761968917099553,2
livestock,rk,0.048,0.04314767563994894,0.04293334042697561,-0.00021433521297332947,0.25822724590919677,2
livestock,rv5m,0.048,0.04314767563994894,0.04311627187124191,-3.140376870703135e-05,0.28245499570422006,2
livestock,tsrv,0.048,0.04314767563994894,0.042642479030141026,-0.0005051966098079085,0.257803830843632,2
metals,bpv,0.091,0.08373748430557876,0.10676113020735431,0.023023645901775552,0.780413054110489,2
metals,ctrv,0.091,0.08373748430557876,0.10726394823229539,0.023526463926716625,0.7721412363304816,2
metals,pabpv,0.091,0.08373748430557876,0.09512942612610122,0.011391941820522451,0.7061137919692766,2
metals,pav,0.091,0.08373748430557876,0.10025292495983612,0.016515440654257356,0.7037436082254087,2
metals,rk,0.091,0.08373748430557876,0.10610804233693019,0.022370558031351427,0.7550979279466112,2
metals,rv5m,0.091,0.08373748430557876,0.10507521390984795,0.021337729604269183,0.7644665465944114,2
metals,tsrv,0.091,0.08373748430557876,0.10506927152786903,0.021331787222290267,0.7231872785830906,2
rates,bpv,0.074,0.07965271957881831,0.057380870267238565,-0.022271849311579744,0.5172435515643733,2
rates,ctrv,0.074,0.07965271957881831,0.05835229419449716,-0.02130042538432115,0.5203039360653879,2
rates,pabpv,0.074,0.07965271957881831,0.059309545260444116,-0.02034317431837419,0.5467134490188996,2
rates,pav,0.074,0.07965271957881831,0.060271440253995584,-0.01938127932482273,0.5606111663782276,2
rates,rk,0.074,0.07965271957881831,0.05722205616332444,-0.022430663415493872,0.5074213727687404,2
rates,rv5m,0.074,0.07965271957881831,0.05666073994418305,-0.022991979634635253,0.5170624725986408,2
rates,tsrv,0.074,0.07965271957881831,0.05708135894484459,-0.02257136063397372,0.5178448211164672,2
single_stock,bpv,0.131,0.12356085338713138,0.14364129052722593,0.020080437140094547,0.8733122616859204,2
single_stock,ctrv,0.131,0.12356085338713138,0.1448253938709798,0.02126454048384841,0.8800477979748036,2
single_stock,pabpv,0.131,0.12356085338713138,0.1268356211711269,0.0032747677839954983,0.8719436583882241,2
single_stock,pav,0.131,0.12356085338713138,0.12872067540239746,0.0051598220152660815,0.8460088269096586,2
single_stock,rk,0.131,0.12356085338713138,0.14376800571722856,0.020207152330097164,0.8631162128012537,2
single_stock,rv5m,0.131,0.12356085338713138,0.14301571549702624,0.019454862109894867,0.8744186795607831,2
single_stock,tsrv,0.131,0.12356085338713138,0.14166067138477598,0.01809981799764459,0.8538980073415873,2
