H,kappa,delta_max,H_hat_exact,bias_exact,bias_approx,alpha_delta1
0.300000,0.000000,40,0.300000,-0.000000,0.000000,0.600000
0.300000,0.000000,100,0.300000,0.000000,0.000000,0.600000
0.300000,0.003000,10,0.299367,-0.000633,-0.000676,0.599816
0.300000,0.003000,20,0.298644,-0.001356,-0.001492,0.599816
0.300000,0.003000,40,0.296975,-0.003025,-0.003489,0.599816
0.300000,0.003000,100,0.291074,-0.008926,-0.011386,0.599816
0.300000,0.010000,10,0.296811,-0.003189,-0.003648,0.599009
0.300000,0.010000,20,0.293390,-0.006610,-0.008048,0.599009
0.300000,0.010000,40,0.285948,-0.014052,-0.018822,0.599009
0.300000,0.010000,100,0.262653,-0.037347,-0.061431,0.599009
0.300000,0.020000,10,0.292147,-0.007853,-0.009627,0.597384
0.300000,0.020000,20,0.284230,-0.015770,-0.021239,0.597384
0.300000,0.020000,40,0.268048,-0.031952,-0.049672,0.597384
0.300000,0.020000,100,0.223719,-0.076281,-0.162117,0.597384
0.300000,0.035000,10,0.284143,-0.015857,-0.021074,0.594273
0.300000,0.035000,20,0.269306,-0.030694,-0.046492,0.594273
0.300000,0.035000,40,0.241279,-0.058721,-0.108734,0.594273
0.300000,0.035000,100,0.176946,-0.123054,-0.354881,0.594273
0.500000,0.000000,10,0.500000,0.000000,0.000000,1.000000
0.500000,0.000000,20,0.500000,-0.000000,0.000000,1.000000
0.500000,0.000000,40,0.500000,-0.000000,0.000000,1.000000
0.500000,0.000000,100,0.500000,0.000000,0.000000,1.000000
0.500000,0.003000,10,0.497060,-0.002940,-0.002948,0.998500
0.500000,0.003000,20,0.494940,-0.005060,-0.005085,0.998500
0.500000,0.003000,40,0.490912,-0.009088,-0.009173,0.998500
0.500000,0.003000,100,0.479472,-0.020528,-0.021004,0.998500
0.500000,0.010000,10,0.490257,-0.009743,-0.009827,0.995000
0.500000,0.010000,20,0.483323,-0.016677,-0.016948,0.995000
0.500000,0.010000,40,0.470367,-0.029633,-0.030577,0.995000
0.500000,0.010000,100,0.435242,-0.064758,-0.070013,0.995000
0.500000,0.020000,10,0.480682,-0.019318,-0.019654,0.990000
0.500000,0.020000,20,0.467188,-0.032812,-0.033897,0.990000
0.500000,0.020000,40,0.442613,-0.057387,-0.061154,0.990000
0.500000,0.020000,100,0.380627,-0.119373,-0.140025,0.990000
0.500000,0.035000,10,0.466633,-0.033367,-0.034394,0.982500
0.500000,0.035000,20,0.443996,-0.056004,-0.059320,0.982500
0.500000,0.035000,40,0.404424,-0.095576,-0.107020,0.982500
0.500000,0.035000,100,0.315484,-0.184516,-0.245044,0.982500
