H_latent,H_rv5m,H_tsrv,H_latent_lag40,H_rv5m_lag40,H_tsrv_lag40,H_corrected_rv5m,H_corrected_tsrv,H_corr_lag40_rv5m,H_corr_lag40_tsrv,omega_rv5m,omega_tsrv,convergence,varpi,path_id
0.163312,0.057043,0.037435,0.172703,0.108093,0.091824,0.057043,0.037435,0.108093,0.091824,0.000139,0.000139,converged,0.000500,86
0.227005,0.085932,0.063365,0.224430,0.138621,0.116947,0.085932,0.063365,0.138621,0.116947,0.000090,0.000090,converged,0.000500,87
0.199442,0.107292,0.085237,0.200395,0.119679,0.100902,0.108982,0.086307,0.121231,0.101978,0.028059,0.028059,converged,0.000500,88
0.188483,0.080933,0.065636,0.176499,0.118666,0.103741,0.080933,0.065636,0.118666,0.103741,0.000053,0.000053,converged,0.000500,89
0.209798,0.087309,0.066867,0.218017,0.131075,0.110575,0.088770,0.067760,0.132718,0.111725,0.028152,0.028152,converged,0.000500,90
0.155477,0.102770,0.092535,0.220886,0.121170,0.103382,0.104350,0.093667,0.122541,0.104334,0.028030,0.028030,converged,0.000500,91
0.199936,0.096396,0.076386,0.186002,0.110456,0.091114,0.097928,0.077333,0.111883,0.092054,0.028949,0.028949,converged,0.000500,92
0.186098,0.060840,0.036837,0.248159,0.153467,0.130719,0.061905,0.037339,0.155331,0.132009,0.027802,0.027802,converged,0.000500,93
0.216695,0.090170,0.067288,0.192387,0.097327,0.077823,0.091599,0.068115,0.098621,0.078651,0.028488,0.028488,converged,0.000500,94
0.208168,0.103535,0.085179,0.190857,0.106028,0.086640,0.105125,0.086190,0.107286,0.087456,0.028095,0.028095,converged,0.000500,95
0.163238,0.057097,0.038595,0.192626,0.115213,0.095438,0.058059,0.039097,0.116722,0.096447,0.028726,0.028726,converged,0.000500,96
0.180415,0.021484,0.008812,0.154572,0.067024,0.050052,0.021856,0.008914,0.067971,0.050583,0.028214,0.028214,converged,0.000500,97
0.220795,0.141117,0.118317,0.175108,0.082507,0.067684,0.143200,0.119672,0.083528,0.068337,0.027421,0.027421,converged,0.000500,98
0.233035,0.099223,0.079046,0.192854,0.099838,0.080164,0.099223,0.079046,0.099838,0.080164,0.000062,0.000062,converged,0.000500,99
