H_latent,H_rv5m,H_tsrv,H_latent_lag40,H_rv5m_lag40,H_tsrv_lag40,H_corrected_rv5m,H_corrected_tsrv,H_corr_lag40_rv5m,H_corr_lag40_tsrv,omega_rv5m,omega_tsrv,convergence,varpi,path_id
0.198099,0.102063,0.085227,0.247280,0.153659,0.132630,0.103688,0.086278,0.155571,0.133975,0.029075,0.029075,converged,0.000100,38
0.186710,0.088576,0.072770,0.195584,0.110849,0.092041,0.090047,0.073724,0.112220,0.092950,0.028481,0.028481,converged,0.000100,39
0.198520,0.078474,0.059856,0.199105,0.125714,0.109974,0.079729,0.060595,0.127251,0.111075,0.028041,0.028041,converged,0.000100,40
0.206330,0.069982,0.056047,0.194683,0.109314,0.092799,0.071113,0.056753,0.110744,0.093771,0.028180,0.028180,converged,0.000100,41
0.209786,0.120362,0.102413,0.214480,0.127493,0.110544,0.122308,0.103728,0.129189,0.111739,0.028212,0.028212,converged,0.000100,42
0.197071,0.062404,0.042185,0.210871,0.090784,0.066896,0.063434,0.042716,0.091939,0.067565,0.027829,0.027829,converged,0.000100,43
0.201114,0.082748,0.066240,0.185575,0.096269,0.081174,0.084155,0.067123,0.097535,0.082025,0.028412,0.028412,converged,0.000100,44
0.166694,0.061471,0.049759,0.132368,0.074341,0.065085,0.061471,0.049759,0.074341,0.065085,0.000000,0.000000,converged,0.000100,45
0.178726,0.105161,0.085862,0.217982,0.115394,0.094343,0.105161,0.085862,0.115394,0.094343,0.000062,0.000062,converged,0.000100,46
0.184819,0.066284,0.047585,0.152274,0.070997,0.059072,0.067417,0.048225,0.072048,0.059771,0.028648,0.028648,converged,0.000100,47
0.229011,0.097986,0.071413,0.192083,0.090071,0.071497,0.099556,0.072334,0.091197,0.072226,0.027813,0.027813,converged,0.000100,48
0.163064,0.077826,0.063083,0.165711,0.092136,0.072515,0.079160,0.063923,0.093441,0.073335,0.028144,0.028144,converged,0.000100,49
0.157768,0.075060,0.065540,0.137082,0.064734,0.050556,0.076275,0.066352,0.065545,0.051033,0.027439,0.027439,converged,0.000100,50
0.219912,0.069712,0.046664,0.167659,0.075842,0.056896,0.070908,0.047296,0.076858,0.057475,0.027098,0.027098,converged,0.000100,51
0.146720,0.066387,0.054530,0.180910,0.100525,0.081385,0.067513,0.055253,0.101862,0.082246,0.028429,0.028429,converged,0.000100,52
0.184490,0.102531,0.091966,0.187523,0.109696,0.092380,0.104186,0.093107,0.111083,0.093283,0.028313,0.028313,converged,0.000100,53
0.222112,0.123157,0.109331,0.222934,0.105570,0.080454,0.125040,0.110637,0.106886,0.081272,0.028323,0.028323,converged,0.000100,54
0.206508,0.101237,0.083595,0.191173,0.092892,0.074407,0.102865,0.084638,0.094040,0.075109,0.028503,0.028503,converged,0.000100,55
0.208862,0.093726,0.074327,0.154115,0.070675,0.055011,0.093726,0.074327,0.070675,0.055011,0.000050,0.000050,converged,0.000100,56
0.168396,0.078679,0.063094,0.130709,0.063661,0.053282,0.079977,0.063900,0.064557,0.053871,0.027122,0.027122,converged,0.000100,57
0.181464,0.039481,0.021828,0.112824,0.041011,0.029577,0.039481,0.021828,0.041011,0.029577,0.000184,0.000184,converged,0.000100,58
0.193063,0.081979,0.067359,0.149509,0.101063,0.089404,0.083315,0.068213,0.102413,0.090366,0.027871,0.027871,converged,0.000100,59
0.215690,0.092236,0.070082,0.202179,0.112375,0.091458,0.092236,0.070082,0.112375,0.091458,0.000068,0.000068,converged,0.000100,60
0.214503,0.085435,0.067988,0.186196,0.083407,0.066901,0.086844,0.068863,0.084518,0.067601,0.028578,0.028578,converged,0.000100,61
